index,keydevid,situation,Blue,White,Pink,Unsure,gpt_class,match
0,242548,"Allegheny Technologies has announced that it plans to further reduce its by 90 employees in the High Performance Metals and Industrial Products segments, mostly in Europe.",1.0,0.0,0.0,0.0,unsure,False
3,62476,Kellogg Company announced its plans to lay off 620 employees after it purchased the Keebler Foods Company. The majority of the lay offs will be Keebler employees.,0.0,0.0,0.0,1.0,pink,False
6,4913701,"Wachovia Corp. plans to cut 110 jobs in Charlotte as part of its recently announced plans to reduce its investment-banking division staff by 200. The unit has about 6,300 employees. The cuts will occur at offices around the globe. The bank began notifying employees of the layoffs.",0.0,1.0,0.0,0.0,unsure,False
10,315079160,"TTM Technologies Inc. announced that it will close its Cuyahoga Falls plant and lay off more than 70 people starting later the year 2015 as it consolidates operations following a major acquisition. At least some Falls employees will be relocated to a newly acquired plant in North Jackson Township in Mahoning County. The first layoffs are expected no sooner than December 21, 2015 with final layoffs taking place in April 2016. Employees who are not transferred to North Jackson will be eligible for separation and other benefits. It will also close a plant in Mexico. The company said the moves will result in 550 job cuts about $16.5 million in annual cost savings. The company said it will record one-time closing-related charges of $15 million to $20 million.",1.0,0.0,0.0,0.0,unsure,False
15,116774026,"Exelixis, Inc. announced that the Board of Directors of the company approved a restructuring plan that is expected to result in a reduction of the companyé¥æª workforce by approximately 65% over a two-year period. The company had approximately 400 employees as of December 1, 2010. The restructuring plan is a consequence of the companyé¥æª decision to focus its investments and proprietary activities on the late-stage development and commercialization of its lead compound XL184. The company expects to complete an initial reduction of approximately 40% of its personnel, consisting of a reduction of approximately 144 employees and the elimination of an additional 16 currently open positions, by the end of 2010. Personnel reductions will be made across the companyé¥æª entire organization, including discovery, development and general & administrative departments. Further personnel reductions are expected to be made through the end of 2012 as the company completes its obligations under collaboration agreements and withdraws resources from completed projects.",0.0,1.0,0.0,0.0,unsure,False
16,531316273,"ADP has filed a notice that it will close its operation in Williamsville. The company filed a WARN notice on July 14, 2017 with the state Department of Labor, saying the office on Spindrift Drive will close on October 13, 2017. Layoffs involving 25 workers would begin on September 29.",0.0,1.0,0.0,0.0,pink,False
17,138669262,"Openwave Systems Inc. announced a reduction of approximately 18% to 20% of the workforce. As part of the restructuring, the company intends to reduce its spending on legacy products and solutions that have been underperforming. The company said it expects to reduce annual Non-GAAP operating expenses by about 30%, or $30 - $32 million, on a year-over-year basis.",0.0,1.0,0.0,0.0,unsure,False
19,450701,Albertsons Inc. announced that it is trimming the number of divisions to seven from 11 to reduce costs as the company tries to compete with discounters such as Wal-Mart Stores Inc. and wholesale clubs.,0.0,0.0,1.0,0.0,unsure,False
25,321216,"Operations at General Motors Corp.'s hot-weather testing center here will be phased out during the next 3 1/2 years and will stop completely in 2005. The auto giant originally planned to close the Desert Proving Ground by the end of this year but set the date back to late 2005 because of delays in getting a replacement center established in Mexico. About 370 people are working in Mesa, down from more than 1,000.",1.0,0.0,0.0,0.0,unsure,False
28,264723148,"Abercrombie & Fitch announced for the year 2014, the company plans to open 4 additional stores in China, including a mall-based A&F store in Chengdu and preparing for an accelerated rollout for both brands in 2015. For 2014, the company plans to open 2 additional Hollister stores in Japan, 1 at LaLaport Tokyo Bay and the other in Kobe, and it sees significant growth opportunity, given iearly success. During 2014, the company expects to open 15 full-priced international stores, including a small number of A&F mall-based stores. The company also now plan to open 8 to 10 international and U.S. outlet stores during the year. The company expects to close between 60 and 70 stores in the U.S. during the fiscal year through natural lease expirations.",0.0,0.0,1.0,0.0,unsure,False
37,264074497,"Trade union CNV Vakmensen expects the loss of 100 jobs at the Dordrecht chemicals plant of US industrial conglomerate DuPont in western Netherlands due to restructuring, union official Arjan Huizinga was cited as saying by news agency.",1.0,0.0,0.0,0.0,unsure,False
44,250846993,"Lockheed Martin announced that it plans to close operations in Newtown, Pa.; Akron, Ohio; Goodyear, Ariz.; and Horizon City, Texas; and four buildings on its Sunnyvale, Calif., campus. The facility closures will result in the elimination of 2,000 positions. Current cost cutting measures should eliminate an additional 2,000 positions in the company's Information Systems & Global Solutions, Mission System and Training and Space Systems divisions by the end of 2014.",0.0,1.0,0.0,0.0,unsure,False
46,2613181,"General Motors Corporation has been prompted by lacklustre sales of the new Pontiac G6 sedan to cut production of the car beginning in April. The company announced that the Orion township, Michigan plant where the car is built will reduce Pontiac G6 output by more than 10% and lay off an unspecified number of workers.",1.0,0.0,0.0,0.0,unsure,False
47,226287,"Sykes Enterprises will layoff about 73 employees at its Bismarck, North Dakota call center.",0.0,0.0,1.0,0.0,unsure,False
