index,keydevid,situation,Blue,White,Pink,Unsure,gpt_class,match
0,242548,"Allegheny Technologies has announced that it plans to further reduce its by 90 employees in the High Performance Metals and Industrial Products segments, mostly in Europe.",1.0,0.0,0.0,0.0,white,False
2,98970926,International Business Machines Corp. has issued layoff notices to more than 400 workers. Employees may be eventually be eligible for help under the Trade Act of 1974.,0.0,0.0,0.0,1.0,white,False
3,62476,Kellogg Company announced its plans to lay off 620 employees after it purchased the Keebler Foods Company. The majority of the lay offs will be Keebler employees.,0.0,0.0,0.0,1.0,blue,False
4,6202947,News Corp. has flagged job cuts after reporting a $5.9 billion first half net loss amid a grim economic climate.,0.0,0.0,0.0,1.0,white,False
10,315079160,"TTM Technologies Inc. announced that it will close its Cuyahoga Falls plant and lay off more than 70 people starting later the year 2015 as it consolidates operations following a major acquisition. At least some Falls employees will be relocated to a newly acquired plant in North Jackson Township in Mahoning County. The first layoffs are expected no sooner than December 21, 2015 with final layoffs taking place in April 2016. Employees who are not transferred to North Jackson will be eligible for separation and other benefits. It will also close a plant in Mexico. The company said the moves will result in 550 job cuts about $16.5 million in annual cost savings. The company said it will record one-time closing-related charges of $15 million to $20 million.",1.0,0.0,0.0,0.0,white,False
19,450701,Albertsons Inc. announced that it is trimming the number of divisions to seven from 11 to reduce costs as the company tries to compete with discounters such as Wal-Mart Stores Inc. and wholesale clubs.,0.0,0.0,1.0,0.0,white,False
21,62461,Microstrategy Inc. announced that it will lay off 600 employees as part of a restruturing plan to become profitable.,0.0,0.0,0.0,1.0,white,False
28,264723148,"Abercrombie & Fitch announced for the year 2014, the company plans to open 4 additional stores in China, including a mall-based A&F store in Chengdu and preparing for an accelerated rollout for both brands in 2015. For 2014, the company plans to open 2 additional Hollister stores in Japan, 1 at LaLaport Tokyo Bay and the other in Kobe, and it sees significant growth opportunity, given iearly success. During 2014, the company expects to open 15 full-priced international stores, including a small number of A&F mall-based stores. The company also now plan to open 8 to 10 international and U.S. outlet stores during the year. The company expects to close between 60 and 70 stores in the U.S. during the fiscal year through natural lease expirations.",0.0,0.0,1.0,0.0,white,False
30,65097,MKS Instruments Inc. has laid off about 120 employees as part of a previously announced strategy to reduce costs.,0.0,0.0,0.0,1.0,white,False
33,269550,"Williams Cos. stock soared after the company disclosed more of its continuing plan to cut its staggering debt, which will mean fewer jobs at energy giant. At the beginning of 2002, the company employed about 12,000 people. The work force, currently at about 9,300, is expected to be slashed to less than 6,000 by year's end as the company continues to sell pieces of its business.",0.0,0.0,0.0,1.0,white,False
